Name,Description,Store,Price,Quantity Available
Sport Watch,Water-resistant sport watch,Store3,139.99,13
Bluetooth Headphones,Noise cancelling headphones,TechHub,120.00,25
Running Shoes,Comfortable running shoes,Store3,89.99,29
Kitchen Knife Set,Professional chef knives,Home Essentials,79.99,20
Sunglasses,UV protection glasses,Accessory Boutique,75.00,27
Backpack,Travel backpack,Outdoor Gear,49.99,40
Leather Wallet,Genuine leather wallet,Accessory Boutique,45.00,50
Yoga Mat,Eco-friendly yoga mat,Health & Fitness,35.00,45
Board Game,"Strategy board game: age 10+",Games & Hobbies,34.99,55
Wireless Mouse,Ergonomic mouse,TechHub,30.00,50
Desk Lamp,LED desk lamp,Office Supplies,29.99,78
Herbal Tea Assortment,Organic teas,Store2,24.99,60
Puzzle Game,1000-piece puzzle,Games & Hobbies,20.00,75
Graphic T-Shirt,Cotton graphic tee,Apparel Central,19.99,69
Water Bottle,Durable water bottle,Outdoor Gear,15.50,100
Novel "Sea of Dreams",Latest bestselling novel,Book World,14.99,100
Plant Pot,Ceramic plant pot,Home Essentials,12.99,59
Notebook Set,Set of 3 notebooks,Office Supplies,10.99,120
Coffee Mug,A mug for coffee,Store1,9.99,50
Tea Cup,A cup for tea,Store2,7.99,40
